@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute class {1 2 }
@data
0.002771,0.000069,0.002606,0.000094,0.002656,0.000117,0.009080,0.004382,0.002636,0.000585,0.004864,0.004130,0.055798,3.105634,0.043737,1.517980,0.483915,9.715962,3.381764,2.009330,3.236016,1.245548,1.441811,-0.031303,0.315910,0.006496,0.000840,510.000000,0.510762,0.973282,0.700549,1.000000,83.497475,0.897620,27.636265,23.759511,66.410663,1
0.002603,0.000055,0.002582,0.000060,0.002588,0.000059,0.006129,0.001130,0.002532,0.000589,0.003676,0.001916,0.056555,2.816694,0.122299,1.605626,0.518635,8.191489,3.598356,2.036646,3.136791,1.240868,1.428910,-0.027854,0.291373,0.002251,0.002091,704.000000,0.583153,0.979138,0.709677,1.000000,97.982756,0.902949,33.408554,27.139843,-42.690085,2
0.002724,0.000128,0.002639,0.000089,0.002674,0.000115,0.006895,0.003543,0.002747,0.000650,0.004606,0.003266,0.050720,1.522667,0.739321,2.848597,0.587216,8.244444,10.138469,2.348991,3.252934,0.636558,1.152158,-0.250707,0.779326,0.005976,0.001979,1272.000000,0.829062,0.891381,0.618076,1.000000,154.953320,0.657215,56.153937,31.398843,-62.515710,2
0.002622,0.000058,0.002597,0.000060,0.002604,0.000061,0.006239,0.001227,0.002506,0.000577,0.003666,0.001982,0.051199,3.050553,0.013592,1.589068,0.458831,7.154818,3.132429,1.975742,3.189303,1.104682,1.408893,-0.030350,0.307392,0.002554,0.001148,738.000000,0.861096,0.960938,0.602449,1.000000,109.053820,0.765695,43.245489,21.987835,45.739506,2
0.002624,0.000054,0.002605,0.000061,0.002610,0.000060,0.005434,0.000974,0.002412,0.000544,0.003223,0.001557,0.045685,3.362031,0.052960,1.726952,0.464254,9.167770,3.737858,2.053392,3.337628,1.309484,1.477090,-0.028135,0.302641,0.003255,0.003436,531.000000,0.700584,0.953321,0.704244,1.000000,86.669048,0.868184,30.976981,22.104251,-31.690427,2
0.002520,0.000059,0.002513,0.000060,0.002517,0.000060,0.005178,0.000653,0.002802,0.000574,0.003667,0.001344,0.056738,2.715247,0.034792,1.392171,0.483019,9.199552,2.908610,1.939430,3.115357,1.006540,1.365759,-0.028889,0.296101,0.003796,0.002894,518.000000,0.583209,0.971857,0.719444,1.000000,84.669048,0.886935,28.617576,23.246695,1.555506,2
0.002608,0.000059,0.002580,0.000066,0.002589,0.000065,0.005788,0.001156,0.002835,0.000587,0.003961,0.001735,0.037188,4.026316,0.047032,2.060464,0.426668,8.857895,4.406122,2.141945,3.506022,1.466316,1.547495,-0.024357,0.288846,0.003245,0.001414,460.000000,0.537688,0.974576,0.774411,1.000000,78.769553,0.908434,26.455898,22.306136,-84.144587,2
0.002534,0.000056,0.002452,0.000073,0.002482,0.000079,0.007376,0.002226,0.003017,0.001057,0.004789,0.002800,0.050039,3.116732,0.146959,1.713546,0.486594,9.575876,4.166422,2.109574,3.289443,1.293706,1.439016,-0.050288,0.397843,0.005298,0.004613,323.000000,0.555451,0.975831,0.734091,1.000000,65.355339,0.921851,22.429458,18.651206,66.048503,2
0.002626,0.000065,0.002603,0.000073,0.002615,0.000070,0.006866,0.001856,0.003108,0.000624,0.005217,0.002429,0.040271,3.389752,0.164939,2.025064,0.467535,9.473603,4.677875,2.181501,3.461455,1.326692,1.490500,-0.030992,0.321731,0.002643,0.001620,730.000000,0.658462,0.950521,0.715686,1.000000,102.911690,0.849579,35.449603,26.679874,16.683574,2
0.002627,0.000058,0.002606,0.000064,0.002612,0.000063,0.005499,0.000943,0.002728,0.000509,0.003621,0.001517,0.049292,3.075377,0.076777,1.682843,0.474722,9.396985,3.586122,2.049713,3.274452,1.193379,1.435140,-0.031783,0.317005,0.001033,0.004051,488.000000,0.737774,0.972112,0.774603,1.000000,82.769553,0.873891,30.398489,20.520430,83.323244,2
0.002628,0.000059,0.002583,0.000064,0.002595,0.000066,0.005972,0.001317,0.002569,0.000568,0.003554,0.001835,0.039044,3.884956,0.146253,2.288163,0.466827,9.873156,5.213999,2.227000,3.499750,1.648211,1.557483,-0.046887,0.393292,0.003861,0.002781,414.000000,0.587842,0.969555,0.752727,1.000000,74.769553,0.906193,25.655352,20.754555,-70.002858,2
0.002931,0.000261,0.002603,0.000162,0.002704,0.000252,0.007850,0.003634,0.002200,0.000674,0.003878,0.003407,0.037869,2.047155,0.648794,2.966726,0.553639,7.978862,9.578415,2.479359,3.478342,0.877943,1.285545,-0.167205,0.686163,0.001937,0.007592,710.000000,0.691099,0.901015,0.667293,1.000000,113.740120,0.677700,36.576570,26.436081,13.971784,1
0.003086,0.000207,0.002776,0.000112,0.002843,0.000192,0.006232,0.002581,0.002146,0.000558,0.003052,0.002235,0.047998,1.676471,0.643535,2.286278,0.585294,8.112745,7.614739,2.363417,3.259766,0.734429,1.198877,-0.180027,0.690537,0.015276,0.013077,504.000000,0.477770,0.815534,0.543103,1.000000,105.982760,0.553366,29.270946,25.714090,-36.694277,1
0.003313,0.000341,0.002788,0.000137,0.002925,0.000318,0.009257,0.005812,0.002271,0.000637,0.004137,0.004457,0.036918,1.766667,0.709411,3.022044,0.564167,8.795833,10.391649,2.528719,3.451142,0.724566,1.205546,-0.212126,0.748073,0.007580,0.014102,567.000000,0.520767,0.929508,0.723214,1.000000,94.426407,0.782449,29.370326,25.073415,62.044964,1
0.003778,0.000300,0.002998,0.000370,0.003212,0.000504,0.006407,0.002958,0.002299,0.000710,0.003499,0.002640,0.064343,1.369628,0.653373,1.811348,0.621203,10.939828,6.366007,2.238042,3.024089,0.630717,1.130891,-0.201690,0.709973,0.007066,0.011170,418.000000,0.518727,0.952164,0.726957,1.000000,77.941125,0.842907,25.488709,21.791321,36.556663,1
0.003314,0.000326,0.002920,0.000343,0.002977,0.000361,0.007388,0.003612,0.002126,0.000519,0.003072,0.002683,0.128196,0.780172,0.709310,1.295909,0.733443,5.211207,3.399357,1.974981,2.335995,0.451527,0.912287,-0.262185,0.735498,0.013766,0.015981,292.000000,0.877641,0.929936,0.608333,1.000000,69.355339,0.741308,28.221816,13.527232,35.821922,1
0.003562,0.000335,0.003814,0.000533,0.003703,0.000485,0.004656,0.000559,0.002431,0.000556,0.003238,0.001247,0.122819,1.205217,0.494887,0.777177,0.677100,4.446956,3.231534,1.880103,2.497493,0.664033,1.091357,-0.113934,0.527923,0.019469,0.006920,661.000000,0.703184,0.967789,0.735261,1.000000,97.254834,0.860406,34.508310,24.535691,-30.198205,1
0.003152,0.000221,0.003436,0.000277,0.003337,0.000294,0.005032,0.000657,0.002685,0.000828,0.003464,0.001395,0.076954,2.115196,0.319715,1.320646,0.621170,5.786765,4.069727,2.063291,2.934646,1.187374,1.302630,-0.098921,0.517448,0.010418,0.002817,507.000000,0.760622,0.865188,0.633750,1.000000,101.597980,0.605258,33.247116,21.583857,65.512493,1
0.004845,0.000925,0.003149,0.000630,0.003637,0.001085,0.007265,0.005467,0.002268,0.000572,0.003785,0.003936,0.081461,1.000000,0.751328,1.952211,0.710424,7.690176,7.029954,2.317302,2.871742,0.580931,1.018655,-0.341441,0.834561,0.004901,0.045574,475.000000,0.239271,0.953815,0.730769,1.000000,82.769553,0.850611,25.558593,24.816186,-72.431087,1
0.004554,0.000320,0.003215,0.000675,0.003568,0.000842,0.007773,0.002943,0.002315,0.000654,0.003987,0.003136,0.040994,2.153680,0.557526,2.413415,0.537511,8.906926,7.383112,2.371851,3.387535,0.891705,1.293061,-0.132239,0.618042,0.017089,0.019520,538.000000,0.292967,0.974638,0.766382,1.000000,84.426407,0.926420,26.817306,25.640628,17.425430,1
0.002708,0.000058,0.002661,0.000085,0.002672,0.000081,0.005652,0.001170,0.002545,0.000931,0.003368,0.001745,0.047254,3.306513,0.018208,1.675900,0.468145,9.643678,3.424759,2.012572,3.226817,1.285976,1.474511,-0.044657,0.370578,0.001240,0.004858,310.000000,0.800339,0.953846,0.675381,1.000000,71.112698,0.749114,26.119772,15.660044,2.327690,2
0.002880,0.000070,0.002886,0.000137,0.002883,0.000119,0.006040,0.001166,0.002605,0.000540,0.003804,0.001881,0.047319,3.027344,0.126287,1.691996,0.483649,7.855469,3.891871,2.081313,3.320420,1.197101,1.442276,-0.023376,0.275692,0.002785,0.004096,854.000000,0.711202,0.963883,0.774955,1.000000,110.669050,0.860602,39.559942,27.810139,-4.220597,2
0.002875,0.000127,0.002926,0.000243,0.002905,0.000218,0.005604,0.001158,0.002711,0.001243,0.003577,0.001833,0.083279,1.713222,0.379930,1.137945,0.607658,5.873371,3.723257,1.995073,2.880208,0.839327,1.231344,-0.067339,0.434376,0.006611,0.003227,622.000000,0.651882,0.876056,0.673160,1.000000,104.183770,0.706485,33.793114,25.625996,17.979970,2
0.002964,0.000315,0.003207,0.000611,0.003125,0.000556,0.004316,0.000535,0.002185,0.000441,0.002755,0.001085,0.170570,1.257290,0.412986,0.721471,0.704361,3.970841,2.827623,1.696434,2.214587,0.779460,1.048144,-0.092141,0.453555,0.004261,0.010696,655.000000,0.785250,0.970370,0.718202,1.000000,98.325902,0.834307,36.779827,22.773289,-11.790982,1
0.002827,0.000214,0.003005,0.000409,0.002947,0.000370,0.004451,0.000640,0.002298,0.000460,0.002958,0.001159,0.141281,0.914339,0.469012,0.837392,0.714554,4.389199,2.528226,1.790159,2.339734,0.525167,0.956920,-0.127819,0.525176,0.007207,0.019964,606.000000,0.730967,0.975845,0.823370,1.000000,91.941125,0.881590,33.755015,23.034871,12.951977,1
0.004885,0.001874,0.005584,0.002352,0.005229,0.002137,0.005616,0.001030,0.002781,0.000584,0.004142,0.001696,0.167676,0.764136,0.777208,1.494046,0.777639,4.460420,5.918870,1.923802,2.399091,0.516553,0.928474,-0.369413,0.819560,0.070127,0.277100,1383.000000,0.758560,0.899805,0.627211,1.000000,161.681240,0.656685,53.619566,34.938658,57.547752,1
